Bạn có sử dụng mạng xã hội không ?,Chọn những trang mạng xã hội bạn mà đang dùng.,Thông tin về lĩnh vực mà bạn quan tâm?,Những thông tin trên mạng có mang lại lợi ích cho bạn không?,Độ tin cậy của thông tin trên mạng?,Submitted At,Token
true,"Facebook, Youtube","Khoa học, công nghệ, Giải trí",true,5,2017-12-04 16:45:02,db683564a336c1ab681d3c843fb1e9de
true,"LinkedIn, Twitter, Facebook, Youtube, Instagram","Giải trí, Y tế, học đường, Tin tức, thời sự, Kinh tế, thị trường, Khoa học, công nghệ",true,3,2017-12-04 16:47:27,ba7c8bf421691160dc9f6beb4060574b
true,"Facebook, Instagram","Giải trí, Tin tức, thời sự, Khoa học, công nghệ",true,4,2017-12-04 16:48:09,f91cc0491f182e9141ff39d0793ed343
true,"Facebook, Youtube","Khoa học, công nghệ, Giải trí, Tin tức, thời sự",true,3,2017-12-04 16:53:40,9b1a9a4d47443d22b2bd2f6e686f6539
true,"Facebook, Youtube","Khoa học, công nghệ, Giải trí, Y tế, học đường, Tin tức, thời sự",true,2,2017-12-04 16:55:16,2db6caae7e497cd0db2fb33428acc6a0
true,"Youtube, Facebook","Kinh tế, thị trường",true,3,2017-12-04 17:04:01,d0565097a71b3a32e74858b57825590a
true,"Facebook, Twitter, Youtube, LinkedIn","Tin tức, thời sự, Khoa học, công nghệ, Thời tiết, khí hậu, Kinh tế, thị trường",true,2,2017-12-04 17:13:25,0499d55ad86561a156ca8405441e2f05
true,"Facebook, Youtube, Instagram","Giải trí, Tin tức, thời sự, Khoa học, công nghệ, Y tế, học đường",true,4,2017-12-04 17:26:08,4c059215158a23cc8a469e912f8a8d62
true,"Facebook, Youtube","Khoa học, công nghệ, Y tế, học đường",true,4,2017-12-04 17:52:32,b2c72955caa763734e18daf57fb09c42
true,Facebook,"Khoa học, công nghệ",true,3,2017-12-0418:11:53,48895781fb00a3a7be64db68f399f554
true,"Facebook, Youtube","Khoa học, công nghệ, Giải trí",true,3,2017-12-04 23:33:52,8db5a0ad1b944f483c7319ce48b9e29b
true,"Facebook, Youtube, Instagram","Giải trí, Kinh tế, thị trường, Khoa học, công nghệ",true,3,2017-12-05 01:04:54,2b03bdc70cd170b54e4c4279c8732506
true,"Facebook, Youtube","Kinh tế, thị trường, Tin tức, thời sự, Khoa học, công nghệ",true,2,2017-12-05 04:47:18,511d276b814ebfe451f7f13520a9acef
true,"Facebook, Youtube","Giải trí, Kinh tế, thị trường, Khoa học, công nghệ, Y tế, học đường",true,3,2017-12-05 08:16:18,07c07cd6d96a4fb5a47a71aded1a5850
true,"Youtube, Facebook","Giải trí, Tin tức, thời sự, Khoa học, công nghệ",true,3,2017-12-05 11:56:54,0c769f4aa2b573dfcf2d35329151df10
